timestamp,job_id,jitter_ms,version,prevhash,coinb1,coinb2,extranonce1,extranonce2,merkle_branch,ntime,nbits,nonce
1768125331.2028103,3b711,0.02610008232295513,20000000,13e7146a5cb46469ca87c77ab6ab6d5947490f4d328ca716cdb10f8771920c59,087bbbd9d03a71afade681f7a41cd40bc24dc2c2b95fce4f02fa4f440f0acdc5,af944098235024862931a294a237be9d70fd029dbd0406194d11c09d0ed468b5,0000ffff,1e000000,[],69637393,1d00ffff,b8e09998
1768125331.2302034,946cc,26.746399933472276,20000000,339beafddf42e778ea5a3cbf39e1de24f803c6959e2744ce2c38cf5ab9fcbb8d,38c1b5b5329c970982d06b333109b6efc529b7d06a90048233f2089972dcda9f,c740723501c94f04d7e8c8af3812d253ba084764baedc1499d2050e86570b98d,0000ffff,14000000,[],69637393,1d00ffff,86b24752
1768125331.326474,72a08,95.28080001473427,20000000,a14d132159c2831ce33985022342afcb8203d4d8e0173da809321dd79acf1e92,78f99aa56c3f428cdb5ff392a1c1f7e48edc4f83ad31911ec0d17f22319dec50,2d19011133893f353cdca82a0d4f597e2135245d57c38ef76743d976b07cfdc1,0000ffff,b7000000,[],69637393,1d00ffff,c3f8dd79
1768125331.4047046,a9f68,77.17199996113777,20000000,b67dda5c38cf5fa1e31780ff508b1c727465e2d045b3454e8c6697be32dd5b62,00670974aef70c45e04b980c01dd10d35278b51471536d463e6b7d6a667ebd32,61f489db14537cb5608c59239e2cc5a8b4e955e75e2d92df22f1a8e92ceca405,0000ffff,e7000000,[],69637393,1d00ffff,c61dacb5
1768125331.4928255,e2e7f,87.2776999603957,20000000,c447c1b378a8f3d138dee66eb55155d05b34d59bbb5712891f4fe9c026135b66,4e091f7dd851484718b136b3568a4404ae83a95dd3f42b3bcfea891a4eb8edca,dbf962f141c66bd81f18a4718defda88cf3218ebfe5dfee1e186ac1a95502d76,0000ffff,16010000,[],69637393,1d00ffff,73eb0750
1768125331.5871959,5217e,93.48459984175861,20000000,667e50247867df0e403ee0fab8fb03b43904eab3e1e4d6c1d73c1b63f197fa48,7bd0bb472cdb91f864cfe79c7251fb205fa0bfbab4481a7c5f8b647b724e8519,bcbb87b2f4e3545929ff8d97f134344f91e85a354e47957c1ff9b98a259fa766,0000ffff,2d010000,[],69637393,1d00ffff,da31ddce
1768125331.9363563,748c9,348.2152000069618,20000000,3084d6fa5c7f366d65dcc38a847aca12b3eb22339414f8b4963154de2b547bc2,40e68986052c187f6ab50db5f784d5f1a557fa6b6841e8cb10aa0ee47064eecf,65136920eb309d37e0ef9aa7b1bcd5c096e5dd0383cb29050fe050b204ddf4cb,0000ffff,80050000,[],69637393,1d00ffff,a8b6fe89
1768125332.0282545,2d6d9,90.87229985743761,20000000,54ec06520ccc6957feb63c61453b72bd2d03efb0378fce456fcccfe7f39b32dd,dedb3f1cc80940e065c4b3b4f15475dd12be1c487a8f4d861d634346b86f95e8,dcb4279b5e4e6f0cb5584f4f84b2f84c0e0dfde77c11c2493c9d947f27c87417,0000ffff,24010000,[],69637393,1d00ffff,324788dc
1768125332.0924103,8bb93,63.062099972739816,20000000,ecb23df7da3694573102c1d832b25056d3ae24d7649504a4e778842da64470c9,fa59547442085b3e5503b24f1393a7b49b5c55518ce14df2fd9706ea1d3a98eb,7c6b42702f0d4b7e5a7e04d72d4a2ddb28e1623589b5d6710f18b24aabee0ba2,0000ffff,b4000000,[],69637394,1d00ffff,954886e9
1768125332.1564295,73fef,63.01079993136227,20000000,045c68851a22c7cc9455e03f733f94f4e47eaf3b74eadc5233d2bbba65c88518,5f20b84bd413cac43b7ca3d0f2a94c08a2bc2ce66ac29e41c4164ce83e9f188c,3981fc74fff9af84f37fd22e266c20e795f45e07c5aa38574a35fae0e301591a,0000ffff,ae000000,[],69637394,1d00ffff,a49b0b5c
