timestamp,jitter_ms,nonce,found_difficulty,label
1768125330.7148325,84.44899995811284,8b7746ab,2.9361107292772124e-10,0
1768125330.804181,88.34549994207919,2a4f92ed,3.8598471806741206e-10,0
1768125330.805246,0.02519995905458927,99e05d05,1.4222943437984e-08,0
1768125330.8675735,61.693500028923154,a911622d,1.0352014015657072e-09,0
1768125330.9450083,76.61330001428723,a7d13548,2.6266594760215244e-10,0
1768125330.9820673,36.15860012359917,9c89b7d2,2.8271426212512093e-10,0
1768125331.0171874,34.325199900195,5ca06222,8.380133783040924e-10,0
1768125331.0237935,5.839700112119317,aba71930,3.691954402487577e-09,0
1768125331.0880055,63.46899992786348,5254cbb6,4.478527740809591e-09,0
1768125331.1048913,16.126599861308932,96462e8a,3.8231386047298935e-10,0
1768125331.1107042,5.133199971169233,5254cbb6,4.478527740809591e-09,0
1768125331.1791337,67.75990012101829,82408945,2.6014903098790847e-10,0
1768125331.179943,0.028899870812892914,b8e09998,9.247873594766352e-10,0
1768125331.2020516,21.335800178349018,82408945,2.6014903098790847e-10,0
1768125331.2028103,0.02610008232295513,b8e09998,9.247873594766352e-10,0
1768125331.2302034,26.746399933472276,86b24752,2.6536054131217964e-10,0
1768125331.326474,95.28080001473427,c3f8dd79,4.86727171989403e-10,0
1768125331.4047046,77.17199996113777,c61dacb5,5.313393172618004e-10,0
1768125331.4928255,87.2776999603957,73eb0750,4.4631451528200235e-10,0
1768125331.5871959,93.48459984175861,da31ddce,8.873488731994159e-10,0
1768125331.9363563,348.2152000069618,a8b6fe89,3.638169589405335e-10,0
1768125332.0282545,90.87229985743761,324788dc,4.711675107939899e-10,0
1768125332.0924103,63.062099972739816,954886e9,7.969465349908928e-09,0
1768125332.1564295,63.01079993136227,a49b0b5c,2.737406362604687e-10,0
1768125332.5487845,391.5470999199897,63e541dc,5.6138241044866e-10,0
1768125332.7540104,204.34949989430606,ec27ed98,1.2127818830692918e-09,0
1768125332.761237,6.247399840503931,4a88e50c,1.3636209216957515e-09,0
1768125332.76192,0.02310005947947502,95e17dd1,2.50327650248149e-10,0
1768125332.7625277,0.02219993621110916,cdd58a78,7.331076377191358e-10,0
1768125332.853739,90.55670001544058,01204ff1,3.5138894495315844e-10,0
1768125332.924534,69.9533000588417,07b932e8,3.424557960774787e-10,0
1768125332.9620674,36.72600002028048,ec4251be,3.2411137326506394e-10,0
1768125333.0678341,104.7738001216203,c8eac7b2,3.5764949438667223e-10,0
1768125333.3134415,244.78100007399917,b123cfc0,8.635375598754513e-10,0
1768125333.3746862,60.356599977239966,ac4ea175,2.7770013883336994e-10,0
1768125333.534749,159.0647001285106,83bdebc2,2.503283977342218e-10,0
1768125333.5355043,0.02719997428357601,66248f46,2.8036175462944497e-10,0
1768125333.7247226,188.4401999413967,21261202,7.444837329207126e-10,0
1768125333.9073186,181.3568000216037,a7a2cb7a,2.8378104471988054e-10,0
1768125333.9700167,61.86000001616776,6f7b2cc2,4.0277791359571553e-10,0
1768125334.1289377,158.1117999739945,93d2bf39,2.6656924438939687e-08,0
1768125334.2658997,136.09210005961359,833c51db,3.527097484515415e-10,0
1768125334.3006928,33.84019993245602,8b8c559a,1.3054241818026464e-09,0
1768125334.316583,15.031599905341864,ea2db639,2.7907041567721973e-10,0
1768125334.3268077,9.439799934625626,8b8c559a,1.3054241818026464e-09,0
1768125334.4085946,81.05010003782809,20955a15,2.9072047675410456e-09,0
1768125334.5846975,175.06040004082024,ee98231f,1.4566192002618788e-09,0
1768125334.6911297,105.3420000243932,5d306dea,2.889335758535605e-09,0
