timestamp,share_count,jitter_mean,jitter_std,label
2025-12-26T13:12:43.306628,0,0.0,0.0,1
2025-12-26T13:12:46.308263,0,0.0,0.0,1
2025-12-26T13:12:49.309394,0,0.0,0.0,1
2025-12-26T13:12:52.310226,0,0.0,0.0,1
2025-12-26T13:12:55.310737,0,0.0,0.0,1
2025-12-26T13:12:58.311398,0,0.0,0.0,1
2025-12-26T13:13:01.312492,0,0.0,0.0,1
2025-12-26T13:13:04.313327,0,0.0,0.0,1
2025-12-26T13:13:07.314267,1,2.825610400061123,0.0,1
2025-12-26T13:13:10.315387,1,0.17547180003020912,0.0,1
2025-12-26T13:13:13.316142,0,0.0,0.0,1
2025-12-26T13:13:16.316847,0,0.0,0.0,1
2025-12-26T13:13:19.318919,0,0.0,0.0,0
2025-12-26T13:13:22.319630,0,0.0,0.0,0
2025-12-26T13:13:25.320472,0,0.0,0.0,0
2025-12-26T13:13:28.321158,0,0.0,0.0,0
2025-12-26T13:13:31.321816,0,0.0,0.0,0
2025-12-26T13:13:34.322398,0,0.0,0.0,0
2025-12-26T13:13:37.323444,0,0.0,0.0,0
2025-12-26T13:13:40.323986,0,0.0,0.0,0
2025-12-26T13:13:43.324538,0,0.0,0.0,0
2025-12-26T13:13:46.325375,1,1.8284486999036744,0.0,0
2025-12-26T13:13:49.326284,2,1.5480525000020862,0.37559549999423325,0
2025-12-26T13:13:52.327193,1,1.0775939000304788,0.0,0
2025-12-26T13:13:55.327698,0,0.0,0.0,0
2025-12-26T13:13:58.328362,0,0.0,0.0,0
2025-12-26T13:14:01.328785,2,1.677542750025168,0.3966233499813825,0
2025-12-26T13:14:04.329271,2,1.323054249980487,0.3966233499813825,0
2025-12-26T13:14:07.330058,0,0.0,0.0,0
2025-12-26T13:14:10.330765,0,0.0,0.0,0
2025-12-26T13:14:13.331325,0,0.0,0.0,0
2025-12-26T13:14:16.332385,0,0.0,0.0,0
2025-12-26T13:14:19.332715,0,0.0,0.0,0
2025-12-26T13:14:22.333641,0,0.0,0.0,0
2025-12-26T13:14:25.334868,1,1.8665926000103354,0.0,0
2025-12-26T13:14:28.335706,1,1.134669299935922,0.0,0
2025-12-26T13:14:31.336555,1,1.2676187000470236,0.0,0
2025-12-26T13:14:34.337039,1,1.7331102999160066,0.0,0
2025-12-26T13:14:37.337745,0,0.0,0.0,0
2025-12-26T13:14:40.338294,0,0.0,0.0,0
2025-12-26T13:14:43.338775,0,0.0,0.0,0
2025-12-26T13:14:46.339912,0,0.0,0.0,0
2025-12-26T13:14:49.341110,0,0.0,0.0,0
2025-12-26T13:14:52.341968,0,0.0,0.0,0
2025-12-26T13:14:55.342239,0,0.0,0.0,0
2025-12-26T13:14:58.343040,0,0.0,0.0,0
2025-12-26T13:15:01.344235,0,0.0,0.0,0
2025-12-26T13:15:04.344849,0,0.0,0.0,0
2025-12-26T13:15:07.345357,0,0.0,0.0,0
2025-12-26T13:15:10.345916,0,0.0,0.0,0
2025-12-26T13:15:13.346997,0,0.0,0.0,0
2025-12-26T13:15:16.348339,0,0.0,0.0,0
2025-12-26T13:15:19.348751,0,0.0,0.0,0
2025-12-26T13:15:22.349635,0,0.0,0.0,0
2025-12-26T13:15:25.350382,0,0.0,0.0,0
2025-12-26T13:15:28.351762,0,0.0,0.0,0
2025-12-26T13:15:31.352246,0,0.0,0.0,0
2025-12-26T13:15:34.352901,0,0.0,0.0,0
2025-12-26T13:15:37.353376,2,1.9264103500172496,0.7281305500073358,0
2025-12-26T13:15:40.354381,2,1.0743725500069559,0.7281305500073358,0
2025-12-26T13:15:43.355181,0,0.0,0.0,0
2025-12-26T13:15:46.355672,0,0.0,0.0,0
2025-12-26T13:15:49.356014,0,0.0,0.0,0
2025-12-26T13:15:52.357197,1,2.760377300088294,0.0,0
2025-12-26T13:15:55.358245,1,0.24066060001496226,0.0,0
2025-12-26T13:15:58.359512,0,0.0,0.0,0
2025-12-26T13:16:01.360198,1,2.253623399999924,0.0,0
2025-12-26T13:16:04.360550,3,1.8878809333158035,0.8521359689093668,0
2025-12-26T13:16:07.361262,2,0.5423982500797138,0.33648165001068264,0
