timestamp,window_shares,jitter_mean,jitter_std,label
2025-12-26T15:32:06.748638,0,0.0,0.0,0
2025-12-26T15:32:08.749320,0,0.0,0.0,0
2025-12-26T15:32:10.750587,1,0.07166080002207309,0.0,1
2025-12-26T15:32:12.751467,0,0.0,0.0,0
2025-12-26T15:32:14.751764,0,0.0,0.0,0
2025-12-26T15:32:16.752450,0,0.0,0.0,0
2025-12-26T15:32:18.753141,0,0.0,0.0,0
2025-12-26T15:32:20.753521,0,0.0,0.0,0
2025-12-26T15:32:22.754574,0,0.0,0.0,0
2025-12-26T15:32:24.755468,0,0.0,0.0,0
2025-12-26T15:32:26.756036,1,1.4663329999893904,0.0,1
2025-12-26T15:32:28.756581,0,0.0,0.0,0
2025-12-26T15:32:30.757420,1,0.7325905999168754,0.0,1
2025-12-26T15:32:32.758079,1,1.7572015000041574,0.0,1
2025-12-26T15:32:34.758864,0,0.0,0.0,0
2025-12-26T15:32:36.760024,0,0.0,0.0,0
2025-12-26T15:32:38.761008,0,0.0,0.0,0
2025-12-26T15:32:40.761841,0,0.0,0.0,0
2025-12-26T15:32:42.762400,1,1.9601959999417886,0.0,1
2025-12-26T15:32:44.763191,0,0.0,0.0,0
2025-12-26T15:32:46.763817,0,0.0,0.0,0
2025-12-26T15:32:48.764420,0,0.0,0.0,0
2025-12-26T15:32:50.764949,0,0.0,0.0,0
2025-12-26T15:32:52.765460,0,0.0,0.0,0
2025-12-26T15:32:54.766229,0,0.0,0.0,0
2025-12-26T15:32:56.766797,0,0.0,0.0,0
2025-12-26T15:32:58.767610,0,0.0,0.0,0
2025-12-26T15:33:00.768657,0,0.0,0.0,0
2025-12-26T15:33:02.769447,0,0.0,0.0,0
2025-12-26T15:33:04.770815,0,0.0,0.0,0
2025-12-26T15:33:06.771511,0,0.0,0.0,0
2025-12-26T15:33:08.772030,0,0.0,0.0,0
2025-12-26T15:33:10.772764,0,0.0,0.0,0
2025-12-26T15:33:12.773178,0,0.0,0.0,0
2025-12-26T15:33:14.773913,0,0.0,0.0,0
2025-12-26T15:33:16.774459,0,0.0,0.0,0
2025-12-26T15:33:18.775209,1,0.3703082000138238,0.0,1
2025-12-26T15:33:20.776486,0,0.0,0.0,0
2025-12-26T15:33:22.777054,0,0.0,0.0,0
2025-12-26T15:33:24.778134,1,1.4195009999675676,0.0,1
2025-12-26T15:33:26.779327,1,0.23996439995244145,0.0,1
2025-12-26T15:33:28.780038,0,0.0,0.0,0
2025-12-26T15:33:30.780590,0,0.0,0.0,0
2025-12-26T15:33:32.781142,1,0.5431256000883877,0.0,1
2025-12-26T15:33:34.781955,2,1.0652649499825202,0.2896153500187211,1
2025-12-26T15:33:36.782646,0,0.0,0.0,0
2025-12-26T15:33:38.783583,0,0.0,0.0,0
2025-12-26T15:33:40.784499,0,0.0,0.0,0
2025-12-26T15:33:42.785503,0,0.0,0.0,0
2025-12-26T15:33:44.786341,0,0.0,0.0,0
2025-12-26T15:33:46.786813,0,0.0,0.0,0
2025-12-26T15:33:48.787719,0,0.0,0.0,0
2025-12-26T15:33:50.788287,0,0.0,0.0,0
2025-12-26T15:33:52.788742,0,0.0,0.0,0
2025-12-26T15:33:54.789381,0,0.0,0.0,0
2025-12-26T15:33:56.789803,0,0.0,0.0,0
2025-12-26T15:33:58.790356,0,0.0,0.0,0
2025-12-26T15:34:00.790832,0,0.0,0.0,0
2025-12-26T15:34:02.791408,0,0.0,0.0,0
2025-12-26T15:34:04.792398,0,0.0,0.0,0
2025-12-26T15:34:06.793222,0,0.0,0.0,0
2025-12-26T15:34:08.794090,0,0.0,0.0,0
2025-12-26T15:34:10.794603,0,0.0,0.0,0
2025-12-26T15:34:12.795266,0,0.0,0.0,0
2025-12-26T15:34:14.795861,0,0.0,0.0,0
2025-12-26T15:34:16.796534,0,0.0,0.0,0
2025-12-26T15:34:18.797208,0,0.0,0.0,0
2025-12-26T15:34:20.797956,0,0.0,0.0,0
2025-12-26T15:34:22.798582,0,0.0,0.0,0
2025-12-26T15:34:24.799326,0,0.0,0.0,0
2025-12-26T15:34:26.800217,0,0.0,0.0,0
2025-12-26T15:34:28.800939,0,0.0,0.0,0
2025-12-26T15:34:30.801846,1,1.966484499978833,0.0,1
2025-12-26T15:34:32.802857,0,0.0,0.0,0
2025-12-26T15:34:34.803464,0,0.0,0.0,0
2025-12-26T15:34:36.804278,0,0.0,0.0,0
2025-12-26T15:34:38.804817,1,1.673423400032334,0.0,1
2025-12-26T15:34:40.805543,2,0.6884641000069678,0.6802677999949083,1
2025-12-26T15:34:42.806035,0,0.0,0.0,0
2025-12-26T15:34:44.806972,0,0.0,0.0,0
2025-12-26T15:34:46.807649,0,0.0,0.0,0
2025-12-26T15:34:48.808122,1,1.6956596999661997,0.0,1
2025-12-26T15:34:50.808711,0,0.0,0.0,0
2025-12-26T15:34:52.809526,1,0.7517242999747396,0.0,1
2025-12-26T15:34:54.810731,0,0.0,0.0,0
2025-12-26T15:34:56.811434,0,0.0,0.0,0
2025-12-26T15:34:58.812406,1,0.5285955999279395,0.0,1
2025-12-26T15:35:00.812979,0,0.0,0.0,0
2025-12-26T15:35:02.814078,0,0.0,0.0,0
2025-12-26T15:35:04.814951,0,0.0,0.0,0
2025-12-26T15:35:06.815506,1,1.6647043999982998,0.0,1
2025-12-26T15:35:08.816409,0,0.0,0.0,0
2025-12-26T15:35:10.817294,0,0.0,0.0,0
2025-12-26T15:35:12.818129,0,0.0,0.0,0
2025-12-26T15:35:14.818879,0,0.0,0.0,0
2025-12-26T15:35:16.819485,1,0.19851929997093976,0.0,1
2025-12-26T15:35:18.820260,2,1.1716764999437146,0.764840500021819,1
2025-12-26T15:35:20.821080,0,0.0,0.0,0
2025-12-26T15:35:22.821900,0,0.0,0.0,0
2025-12-26T15:35:24.822504,1,1.8398000000743195,0.0,1
2025-12-26T15:35:26.823273,0,0.0,0.0,0
2025-12-26T15:35:28.824495,0,0.0,0.0,0
2025-12-26T15:35:30.825296,0,0.0,0.0,0
2025-12-26T15:35:32.826364,2,1.0061034500249662,0.4038993500289507,1
2025-12-26T15:35:34.827259,1,0.7161460999632254,0.0,1
2025-12-26T15:35:36.828063,0,0.0,0.0,0
2025-12-26T15:35:38.828977,0,0.0,0.0,0
2025-12-26T15:35:40.830084,0,0.0,0.0,0
2025-12-26T15:35:42.831476,0,0.0,0.0,0
2025-12-26T15:35:44.832289,0,0.0,0.0,0
2025-12-26T15:35:46.833523,0,0.0,0.0,0
2025-12-26T15:35:48.834352,0,0.0,0.0,0
2025-12-26T15:35:50.834891,0,0.0,0.0,0
2025-12-26T15:35:52.836497,0,0.0,0.0,0
2025-12-26T15:35:54.837210,0,0.0,0.0,0
2025-12-26T15:35:56.837660,0,0.0,0.0,0
2025-12-26T15:35:58.838330,0,0.0,0.0,0
2025-12-26T15:36:00.839154,0,0.0,0.0,0
2025-12-26T15:36:02.839506,0,0.0,0.0,0
2025-12-26T15:36:04.839885,0,0.0,0.0,0
2025-12-26T15:36:06.840860,0,0.0,0.0,0
2025-12-26T15:36:08.841584,0,0.0,0.0,0
2025-12-26T15:36:10.842295,0,0.0,0.0,0
2025-12-26T15:36:12.842736,0,0.0,0.0,0
2025-12-26T15:36:14.843323,0,0.0,0.0,0
2025-12-26T15:36:16.843721,0,0.0,0.0,0
2025-12-26T15:36:18.845003,2,1.525535500026308,0.20788280002307147,1
2025-12-26T15:36:20.846123,2,0.6199940000660717,0.10416099999565631,1
2025-12-26T15:36:22.847883,0,0.0,0.0,0
2025-12-26T15:36:24.848527,0,0.0,0.0,0
2025-12-26T15:36:26.849218,0,0.0,0.0,0
2025-12-26T15:36:28.850549,0,0.0,0.0,0
2025-12-26T15:36:30.851591,0,0.0,0.0,0
2025-12-26T15:36:32.852376,0,0.0,0.0,0
2025-12-26T15:36:34.853289,0,0.0,0.0,0
2025-12-26T15:36:36.854155,0,0.0,0.0,0
2025-12-26T15:36:38.854866,0,0.0,0.0,0
2025-12-26T15:36:40.855798,1,0.8456039000302553,0.0,1
2025-12-26T15:36:42.856653,0,0.0,0.0,0
2025-12-26T15:36:44.857414,1,1.471079499926418,0.0,1
2025-12-26T15:36:46.858048,0,0.0,0.0,0
2025-12-26T15:36:48.858739,1,1.2339167000027373,0.0,1
2025-12-26T15:36:50.859610,0,0.0,0.0,0
2025-12-26T15:36:52.860529,0,0.0,0.0,0
2025-12-26T15:36:54.861354,0,0.0,0.0,0
2025-12-26T15:36:56.862717,0,0.0,0.0,0
2025-12-26T15:36:58.863185,0,0.0,0.0,0
2025-12-26T15:37:00.864355,1,0.5875609000213444,0.0,1
2025-12-26T15:37:02.865137,0,0.0,0.0,0
2025-12-26T15:37:04.865735,0,0.0,0.0,0
